pulled_at,series_ticker,race,expiration_date,total_volume_usd,total_open_interest_usd,named_candidates,candidate_1,bid_1,ask_1,mid_1,vol_1_usd,oi_1_usd,candidate_2,bid_2,ask_2,mid_2,vol_2_usd,oi_2_usd,candidate_3,bid_3,ask_3,mid_3,vol_3_usd,oi_3_usd,candidate_4,bid_4,ask_4,mid_4,vol_4_usd,oi_4_usd,candidate_5,bid_5,ask_5,mid_5,vol_5_usd,oi_5_usd,candidate_6,bid_6,ask_6,mid_6,vol_6_usd,oi_6_usd,candidate_7,bid_7,ask_7,mid_7,vol_7_usd,oi_7_usd,candidate_8,bid_8,ask_8,mid_8,vol_8_usd,oi_8_usd,candidate_9,bid_9,ask_9,mid_9,vol_9_usd,oi_9_usd,candidate_10,bid_10,ask_10,mid_10,vol_10_usd,oi_10_usd,candidate_11,bid_11,ask_11,mid_11,vol_11_usd,oi_11_usd,candidate_12,bid_12,ask_12,mid_12,vol_12_usd,oi_12_usd,candidate_13,bid_13,ask_13,mid_13,vol_13_usd,oi_13_usd,candidate_14,bid_14,ask_14,mid_14,vol_14_usd,oi_14_usd,candidate_15,bid_15,ask_15,mid_15,vol_15_usd,oi_15_usd,candidate_16,bid_16,ask_16,mid_16,vol_16_usd,oi_16_usd,candidate_17,bid_17,ask_17,mid_17,vol_17_usd,oi_17_usd,candidate_18,bid_18,ask_18,mid_18,vol_18_usd,oi_18_usd
2026-06-25T14:00:52Z,KXSENATEMID,Michigan Senate — Dem Primary,2026-11-03T15:00:00Z,1037571.56,531088.33,9,Abdul El-Sayed,0.800,0.810,0.805,522568.63,261662.57,Haley Stevens,0.160,0.180,0.170,303751.44,169804.81,Mallory McMorrow,0.016,0.041,0.029,209749.67,98318.13,Matt Sahr,0.000,0.004,0.002,7.01,7.01,Kristen McDonald Rivet,0.000,0.003,0.002,193.1,193.1,Rashida Tlaib,0.000,0.002,0.001,364.1,364.1,Sarah Anthony,0.000,0.002,0.001,2.1,2.1,Dana Nessel,0.000,0.001,0.001,909.41,710.41,Andy Levin,0.000,0.001,0.001,26.1,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25T14:00:52Z,KXGOVMINOMR,Michigan Governor — Rep Primary,2026-11-03T15:00:00Z,327130.32,165379.3,15,John James,0.850,0.860,0.855,156714.13,64057.32,Perry Johnson,0.076,0.100,0.088,106215.39,57036.85,Mike Cox,0.052,0.055,0.053,29146.41,23343.59,Aric Nesbitt,0.001,0.007,0.004,22141.3,8563.45,Mike Rogers,0.001,0.005,0.003,2346.19,2144.19,Kevin Rinke,0.001,0.005,0.003,1466.19,1353.19,Garrett Soldano,0.001,0.005,0.003,844.19,842.19,Tom Leonard,0.001,0.005,0.003,1043.19,942.19,Tudor Dixon,0.001,0.005,0.003,2124.19,2024.19,Peter Meijer,0.001,0.005,0.003,884.19,882.19,Pete Hoekstra,0.001,0.005,0.003,844.19,842.19,Lisa McClain,0.001,0.005,0.003,844.19,842.19,Jonathan Lindsey,0.001,0.005,0.003,849.19,842.19,Dick DeVos,0.001,0.005,0.003,844.19,842.19,Candice Miller,0.001,0.005,0.003,823.19,821.19,,,,,,,,,,,,,,,,,,
2026-06-25T14:00:52Z,KXGOVMINOMD,Michigan Governor — Dem Primary,2026-11-03T15:00:00Z,51724.24,24955.69,9,Jocelyn Benson,0.950,0.990,0.970,25561.33,11148.18,Chris Swanson,0.003,0.058,0.030,13398.89,8510.49,Garlin Gilchrist,0.001,0.018,0.009,5045.02,941.02,Mark Hackel,0.001,0.010,0.005,1416.0,721.0,Mallory McMorrow,0.001,0.010,0.005,680.0,462.0,Joe Tate,0.001,0.009,0.005,53.0,53.0,Dan Kildee,0.001,0.009,0.005,53.0,53.0,Winnie Brinks,0.001,0.009,0.005,53.0,53.0,Pete Buttigieg,0.001,0.009,0.005,5464.0,3014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25T14:00:52Z,HOUSEMI10,Michigan MI-10 House — General,2027-11-03T15:00:00Z,13373.93,6236.24,2,Democratic party,0.640,0.650,0.645,8561.94,4248.25,Republican party,0.330,0.400,0.365,4811.99,1987.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25T14:00:52Z,KXHOUSERACE,Michigan MI01 House — General,2027-11-03T15:00:00Z,13297.89,2912.93,2,Republican party,0.760,0.790,0.775,9280.32,1379.58,Democratic party,0.210,0.240,0.225,4017.57,1533.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25T14:00:52Z,KXHOUSERACE,Michigan MI02 House — General,2027-11-03T15:00:00Z,6927.0,3309.0,2,Republican party,0.919,0.950,0.934,5915.0,2797.0,Democratic party,0.050,0.081,0.066,1012.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25T14:00:52Z,KXHOUSERACE,Michigan MI09 House — General,2027-11-03T15:00:00Z,5673.42,1485.26,2,Republican party,0.933,0.964,0.949,4733.3,919.14,Democratic party,0.036,0.067,0.051,940.12,566.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25T14:00:52Z,KXSENATEMIR,Michigan Senate — Rep Primary,2026-11-03T15:00:00Z,3795.94,2537.94,5,Mike Rogers,0.961,0.985,0.973,3499.26,2313.26,Bernadette Smith,0.000,0.033,0.017,134.68,62.68,Genevieve Scott,0.000,0.016,0.008,2.0,2.0,Kent Benham,0.000,0.013,0.006,119.0,119.0,Frederick Heurtebise,0.000,0.009,0.004,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25T14:00:52Z,KXHOUSERACE,Michigan MI05 House — General,2027-11-03T15:00:00Z,2551.0,1540.0,2,Republican party,0.890,0.930,0.910,1262.0,752.0,Democratic party,0.070,0.110,0.090,1289.0,788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-25T14:00:52Z,KXHOUSERACE,Michigan MI06 House — General,2027-11-03T15:00:00Z,788.0,774.0,2,Democratic party,0.952,0.983,0.968,679.0,665.0,Republican party,0.017,0.047,0.032,109.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
