pulled_at,series_ticker,race,expiration_date,total_volume_usd,total_open_interest_usd,named_candidates,candidate_1,bid_1,ask_1,mid_1,vol_1_usd,oi_1_usd,candidate_2,bid_2,ask_2,mid_2,vol_2_usd,oi_2_usd,candidate_3,bid_3,ask_3,mid_3,vol_3_usd,oi_3_usd,candidate_4,bid_4,ask_4,mid_4,vol_4_usd,oi_4_usd,candidate_5,bid_5,ask_5,mid_5,vol_5_usd,oi_5_usd,candidate_6,bid_6,ask_6,mid_6,vol_6_usd,oi_6_usd,candidate_7,bid_7,ask_7,mid_7,vol_7_usd,oi_7_usd,candidate_8,bid_8,ask_8,mid_8,vol_8_usd,oi_8_usd,candidate_9,bid_9,ask_9,mid_9,vol_9_usd,oi_9_usd,candidate_10,bid_10,ask_10,mid_10,vol_10_usd,oi_10_usd,candidate_11,bid_11,ask_11,mid_11,vol_11_usd,oi_11_usd,candidate_12,bid_12,ask_12,mid_12,vol_12_usd,oi_12_usd,candidate_13,bid_13,ask_13,mid_13,vol_13_usd,oi_13_usd,candidate_14,bid_14,ask_14,mid_14,vol_14_usd,oi_14_usd,candidate_15,bid_15,ask_15,mid_15,vol_15_usd,oi_15_usd,candidate_16,bid_16,ask_16,mid_16,vol_16_usd,oi_16_usd,candidate_17,bid_17,ask_17,mid_17,vol_17_usd,oi_17_usd,candidate_18,bid_18,ask_18,mid_18,vol_18_usd,oi_18_usd
2026-06-05T14:23:04Z,KXSENATEMID,Michigan Senate — Dem Primary,2026-11-03T15:00:00Z,818451.27,417040.37,9,Abdul El-Sayed,0.650,0.670,0.660,392615.81,186833.71,Haley Stevens,0.240,0.260,0.250,235715.28,135669.82,Mallory McMorrow,0.083,0.084,0.084,188638.36,93254.02,Matt Sahr,0.000,0.005,0.003,7.01,7.01,Kristen McDonald Rivet,0.000,0.003,0.002,193.1,193.1,Rashida Tlaib,0.000,0.002,0.001,364.1,364.1,Dana Nessel,0.000,0.002,0.001,909.41,710.41,Andy Levin,0.000,0.002,0.001,6.1,6.1,Sarah Anthony,0.000,0.002,0.001,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05T14:23:04Z,KXGOVMINOMR,Michigan Governor — Rep Primary,2026-11-03T15:00:00Z,241713.02,129659.0,15,John James,0.550,0.570,0.560,106154.23,52895.63,Perry Johnson,0.360,0.420,0.390,93066.38,51214.06,Mike Cox,0.022,0.080,0.051,17822.43,14380.74,Tudor Dixon,0.001,0.017,0.009,1415.0,1316.0,Peter Meijer,0.001,0.017,0.009,176.0,174.0,Mike Rogers,0.001,0.012,0.006,1637.0,1435.0,Aric Nesbitt,0.002,0.010,0.006,19548.98,6581.57,Kevin Rinke,0.001,0.010,0.005,758.0,645.0,Garrett Soldano,0.001,0.009,0.005,136.0,134.0,Pete Hoekstra,0.001,0.009,0.005,136.0,134.0,Lisa McClain,0.001,0.009,0.005,136.0,134.0,Jonathan Lindsey,0.001,0.009,0.005,141.0,134.0,Dick DeVos,0.001,0.009,0.005,136.0,134.0,Candice Miller,0.001,0.009,0.005,115.0,113.0,Tom Leonard,0.001,0.007,0.004,335.0,234.0,,,,,,,,,,,,,,,,,,
2026-06-05T14:23:04Z,KXGOVMINOMD,Michigan Governor — Dem Primary,2026-11-03T15:00:00Z,48069.85,22337.37,9,Jocelyn Benson,0.810,0.840,0.825,24096.86,9856.78,Chris Swanson,0.120,0.160,0.140,12536.99,7840.59,Mallory McMorrow,0.001,0.010,0.005,680.0,462.0,Garlin Gilchrist,0.001,0.010,0.005,4231.0,653.0,Mark Hackel,0.001,0.009,0.005,902.0,352.0,Joe Tate,0.001,0.009,0.005,53.0,53.0,Dan Kildee,0.001,0.009,0.005,53.0,53.0,Winnie Brinks,0.001,0.009,0.005,53.0,53.0,Pete Buttigieg,0.001,0.009,0.005,5464.0,3014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05T14:23:04Z,KXHOUSERACE,Michigan MI01 House — General,2027-11-03T15:00:00Z,13182.89,2912.93,2,Republican party,0.760,0.790,0.775,9280.32,1379.58,Democratic party,0.210,0.240,0.225,3902.57,1533.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05T14:23:04Z,HOUSEMI10,Michigan MI-10 House — General,2027-11-03T15:00:00Z,12100.24,5079.25,2,Democratic party,0.690,0.710,0.700,8084.25,3865.26,Republican party,0.270,0.330,0.300,4015.99,1213.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05T14:23:04Z,KXHOUSERACE,Michigan MI02 House — General,2027-11-03T15:00:00Z,6896.0,3327.0,2,Republican party,0.066,0.969,0.517,5884.0,2815.0,Democratic party,0.001,0.084,0.043,1012.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05T14:23:04Z,KXHOUSERACE,Michigan MI09 House — General,2027-11-03T15:00:00Z,5600.3,1413.14,2,Republican party,0.001,0.990,0.495,4732.3,919.14,Democratic party,0.001,0.120,0.060,868.0,494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05T14:23:04Z,KXSENATEMIR,Michigan Senate — Rep Primary,2026-11-03T15:00:00Z,3511.14,2343.14,5,Mike Rogers,0.950,0.990,0.970,3257.14,2156.14,Genevieve Scott,0.000,0.990,0.495,2.0,2.0,Bernadette Smith,0.000,0.041,0.021,92.0,25.0,Kent Benham,0.000,0.040,0.020,119.0,119.0,Frederick Heurtebise,0.000,0.009,0.004,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05T14:23:04Z,KXHOUSERACE,Michigan MI05 House — General,2027-11-03T15:00:00Z,2146.0,1252.0,2,Republican party,0.002,0.990,0.496,1262.0,752.0,Democratic party,0.025,0.090,0.058,884.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05T14:23:04Z,KXHOUSERACE,Michigan MI06 House — General,2027-11-03T15:00:00Z,776.0,774.0,2,Democratic party,0.008,0.979,0.493,667.0,665.0,Republican party,0.001,0.120,0.060,109.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
