pulled_at,series_ticker,race,expiration_date,total_volume_usd,total_open_interest_usd,named_candidates,candidate_1,bid_1,ask_1,mid_1,vol_1_usd,oi_1_usd,candidate_2,bid_2,ask_2,mid_2,vol_2_usd,oi_2_usd,candidate_3,bid_3,ask_3,mid_3,vol_3_usd,oi_3_usd,candidate_4,bid_4,ask_4,mid_4,vol_4_usd,oi_4_usd,candidate_5,bid_5,ask_5,mid_5,vol_5_usd,oi_5_usd,candidate_6,bid_6,ask_6,mid_6,vol_6_usd,oi_6_usd,candidate_7,bid_7,ask_7,mid_7,vol_7_usd,oi_7_usd,candidate_8,bid_8,ask_8,mid_8,vol_8_usd,oi_8_usd,candidate_9,bid_9,ask_9,mid_9,vol_9_usd,oi_9_usd,candidate_10,bid_10,ask_10,mid_10,vol_10_usd,oi_10_usd,candidate_11,bid_11,ask_11,mid_11,vol_11_usd,oi_11_usd,candidate_12,bid_12,ask_12,mid_12,vol_12_usd,oi_12_usd,candidate_13,bid_13,ask_13,mid_13,vol_13_usd,oi_13_usd,candidate_14,bid_14,ask_14,mid_14,vol_14_usd,oi_14_usd,candidate_15,bid_15,ask_15,mid_15,vol_15_usd,oi_15_usd,candidate_16,bid_16,ask_16,mid_16,vol_16_usd,oi_16_usd,candidate_17,bid_17,ask_17,mid_17,vol_17_usd,oi_17_usd,candidate_18,bid_18,ask_18,mid_18,vol_18_usd,oi_18_usd
2026-06-16T16:21:04Z,KXSENATEMID,Michigan Senate — Dem Primary,2026-11-03T15:00:00Z,921740.73,473941.68,9,Abdul El-Sayed,0.710,0.720,0.715,458403.21,228683.34,Haley Stevens,0.220,0.230,0.225,259355.87,143614.68,Mallory McMorrow,0.056,0.061,0.059,202479.83,100340.84,Matt Sahr,0.000,0.005,0.003,7.01,7.01,Kristen McDonald Rivet,0.000,0.003,0.002,193.1,193.1,Rashida Tlaib,0.000,0.002,0.001,364.1,364.1,Dana Nessel,0.000,0.002,0.001,909.41,710.41,Andy Levin,0.000,0.002,0.001,26.1,26.1,Sarah Anthony,0.000,0.002,0.001,2.1,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T16:21:04Z,KXGOVMINOMR,Michigan Governor — Rep Primary,2026-11-03T15:00:00Z,272894.58,147607.85,15,John James,0.590,0.640,0.615,115168.17,52206.18,Mike Cox,0.190,0.230,0.210,27999.0,23190.29,Perry Johnson,0.170,0.190,0.180,96854.19,52904.87,Mike Rogers,0.001,0.010,0.005,2293.77,2091.77,Kevin Rinke,0.001,0.010,0.005,1473.77,1360.77,Tudor Dixon,0.001,0.010,0.005,2031.77,1931.77,Peter Meijer,0.001,0.010,0.005,813.77,811.77,Garrett Soldano,0.001,0.009,0.005,751.77,749.77,Pete Hoekstra,0.001,0.009,0.005,1062.77,1060.77,Lisa McClain,0.001,0.009,0.005,811.77,809.77,Jonathan Lindsey,0.001,0.009,0.005,856.77,849.77,Dick DeVos,0.001,0.009,0.005,773.77,771.77,Candice Miller,0.001,0.009,0.005,830.77,828.77,Tom Leonard,0.001,0.007,0.004,1010.77,909.77,Aric Nesbitt,0.001,0.002,0.002,20161.75,7130.04,,,,,,,,,,,,,,,,,,
2026-06-16T16:21:04Z,KXGOVMINOMD,Michigan Governor — Dem Primary,2026-11-03T15:00:00Z,50597.18,24337.83,9,Jocelyn Benson,0.930,0.990,0.960,25562.22,11166.27,Chris Swanson,0.003,0.044,0.024,13031.69,8123.29,Mark Hackel,0.001,0.010,0.005,1416.0,721.0,Mallory McMorrow,0.001,0.010,0.005,680.0,462.0,Garlin Gilchrist,0.001,0.010,0.005,4284.27,692.27,Joe Tate,0.001,0.009,0.005,53.0,53.0,Dan Kildee,0.001,0.009,0.005,53.0,53.0,Winnie Brinks,0.001,0.009,0.005,53.0,53.0,Pete Buttigieg,0.001,0.009,0.005,5464.0,3014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T16:21:04Z,KXHOUSERACE,Michigan MI01 House — General,2027-11-03T15:00:00Z,13297.89,2912.93,2,Republican party,0.760,0.790,0.775,9280.32,1379.58,Democratic party,0.210,0.240,0.225,4017.57,1533.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T16:21:04Z,HOUSEMI10,Michigan MI-10 House — General,2027-11-03T15:00:00Z,12912.25,5858.24,2,Democratic party,0.620,0.630,0.625,8110.26,3860.25,Republican party,0.340,0.390,0.365,4801.99,1997.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T16:21:04Z,KXHOUSERACE,Michigan MI02 House — General,2027-11-03T15:00:00Z,6896.0,3327.0,2,Republican party,0.066,0.978,0.522,5884.0,2815.0,Democratic party,0.001,0.085,0.043,1012.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T16:21:04Z,KXHOUSERACE,Michigan MI09 House — General,2027-11-03T15:00:00Z,5673.42,1485.26,2,Republican party,0.933,0.964,0.949,4733.3,919.14,Democratic party,0.036,0.067,0.051,940.12,566.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T16:21:04Z,KXSENATEMIR,Michigan Senate — Rep Primary,2026-11-03T15:00:00Z,3608.19,2437.19,5,Mike Rogers,0.960,0.981,0.971,3352.14,2248.14,Bernadette Smith,0.000,0.033,0.017,94.05,27.05,Genevieve Scott,0.000,0.016,0.008,2.0,2.0,Kent Benham,0.000,0.014,0.007,119.0,119.0,Frederick Heurtebise,0.000,0.009,0.004,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T16:21:04Z,KXHOUSERACE,Michigan MI05 House — General,2027-11-03T15:00:00Z,2146.0,1252.0,2,Republican party,0.002,0.990,0.496,1262.0,752.0,Democratic party,0.025,0.090,0.058,884.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16T16:21:04Z,KXHOUSERACE,Michigan MI06 House — General,2027-11-03T15:00:00Z,776.0,774.0,2,Democratic party,0.008,0.990,0.499,667.0,665.0,Republican party,0.001,0.120,0.060,109.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
