pulled_at,series_ticker,race,expiration_date,total_volume_usd,total_open_interest_usd,named_candidates,candidate_1,bid_1,ask_1,mid_1,vol_1_usd,oi_1_usd,candidate_2,bid_2,ask_2,mid_2,vol_2_usd,oi_2_usd,candidate_3,bid_3,ask_3,mid_3,vol_3_usd,oi_3_usd,candidate_4,bid_4,ask_4,mid_4,vol_4_usd,oi_4_usd,candidate_5,bid_5,ask_5,mid_5,vol_5_usd,oi_5_usd,candidate_6,bid_6,ask_6,mid_6,vol_6_usd,oi_6_usd,candidate_7,bid_7,ask_7,mid_7,vol_7_usd,oi_7_usd,candidate_8,bid_8,ask_8,mid_8,vol_8_usd,oi_8_usd,candidate_9,bid_9,ask_9,mid_9,vol_9_usd,oi_9_usd,candidate_10,bid_10,ask_10,mid_10,vol_10_usd,oi_10_usd,candidate_11,bid_11,ask_11,mid_11,vol_11_usd,oi_11_usd,candidate_12,bid_12,ask_12,mid_12,vol_12_usd,oi_12_usd,candidate_13,bid_13,ask_13,mid_13,vol_13_usd,oi_13_usd,candidate_14,bid_14,ask_14,mid_14,vol_14_usd,oi_14_usd,candidate_15,bid_15,ask_15,mid_15,vol_15_usd,oi_15_usd,candidate_16,bid_16,ask_16,mid_16,vol_16_usd,oi_16_usd,candidate_17,bid_17,ask_17,mid_17,vol_17_usd,oi_17_usd,candidate_18,bid_18,ask_18,mid_18,vol_18_usd,oi_18_usd
2026-05-10T12:53:07Z,KXSENATEMID,Michigan Senate — Dem Primary,2026-11-03T15:00:00Z,472101.67,265660.52,9,Abdul El-Sayed,0.490,0.510,0.500,187094.51,109180.8,Mallory McMorrow,0.290,0.310,0.300,137695.05,72413.15,Haley Stevens,0.210,0.220,0.215,145830.71,82784.17,Matt Sahr,0.001,0.005,0.003,7.0,7.0,Kristen McDonald Rivet,0.001,0.004,0.003,193.0,193.0,Andy Levin,0.001,0.003,0.002,6.0,6.0,Sarah Anthony,0.001,0.003,0.002,2.0,2.0,Rashida Tlaib,0.001,0.002,0.002,364.0,364.0,Dana Nessel,0.001,0.002,0.002,909.4,710.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T12:53:07Z,KXGOVMINOMR,Michigan Governor — Rep Primary,2026-11-03T15:00:00Z,191716.91,96684.25,15,Perry Johnson,0.500,0.530,0.515,84522.85,44855.04,John James,0.430,0.440,0.435,73053.28,33433.0,Mike Cox,0.034,0.049,0.042,13481.25,10275.09,Mike Rogers,0.001,0.010,0.005,895.0,693.0,Peter Meijer,0.001,0.010,0.005,165.0,163.0,Kevin Rinke,0.001,0.009,0.005,747.0,634.0,Garrett Soldano,0.001,0.009,0.005,125.0,123.0,Pete Hoekstra,0.001,0.009,0.005,125.0,123.0,Lisa McClain,0.001,0.009,0.005,125.0,123.0,Jonathan Lindsey,0.001,0.009,0.005,130.0,123.0,Dick DeVos,0.001,0.009,0.005,125.0,123.0,Candice Miller,0.001,0.009,0.005,115.0,113.0,Aric Nesbitt,0.001,0.009,0.005,16411.53,4375.12,Tudor Dixon,0.001,0.008,0.004,1380.0,1305.0,Tom Leonard,0.001,0.007,0.004,316.0,223.0,,,,,,,,,,,,,,,,,,
2026-05-10T12:53:07Z,KXGOVMINOMD,Michigan Governor — Dem Primary,2026-11-03T15:00:00Z,43928.06,22408.85,9,Jocelyn Benson,0.880,0.925,0.902,21025.31,9991.26,Chris Swanson,0.050,0.100,0.075,12394.75,7777.59,Mallory McMorrow,0.001,0.010,0.005,680.0,462.0,Garlin Gilchrist,0.001,0.010,0.005,4231.0,653.0,Mark Hackel,0.001,0.009,0.005,605.0,352.0,Joe Tate,0.001,0.009,0.005,53.0,53.0,Dan Kildee,0.001,0.009,0.005,53.0,53.0,Winnie Brinks,0.001,0.009,0.005,53.0,53.0,Pete Buttigieg,0.001,0.009,0.005,4833.0,3014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T12:53:07Z,KXHOUSERACE,Michigan MI01 House — General,2027-11-03T15:00:00Z,11223.95,2571.96,2,Republican party,0.690,0.710,0.700,7713.6,838.61,Democratic party,0.290,0.310,0.300,3510.35,1733.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T12:53:07Z,HOUSEMI10,Michigan MI-10 House — General,2027-11-03T15:00:00Z,9026.38,7238.47,2,Democratic party,0.770,0.780,0.775,6102.0,5738.0,Republican party,0.220,0.230,0.225,2924.38,1500.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T12:53:07Z,KXHOUSERACE,Michigan MI02 House — General,2027-11-03T15:00:00Z,6685.0,3538.0,2,Republican party,0.914,0.944,0.929,5713.0,2986.0,Democratic party,0.056,0.084,0.070,972.0,552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T12:53:07Z,KXHOUSERACE,Michigan MI09 House — General,2027-11-03T15:00:00Z,5600.3,1413.14,2,Republican party,0.919,0.966,0.943,4732.3,919.14,Democratic party,0.035,0.065,0.050,868.0,494.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T12:53:07Z,KXSENATEMIR,Michigan Senate — Rep Primary,2026-11-03T15:00:00Z,2830.3,1721.3,5,Mike Rogers,0.950,0.990,0.970,2619.3,1534.3,Bernadette Smith,0.030,0.032,0.031,49.0,25.0,Kent Benham,0.000,0.010,0.005,119.0,119.0,Genevieve Scott,0.000,0.010,0.005,2.0,2.0,Frederick Heurtebise,0.000,0.009,0.004,41.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T12:53:07Z,KXHOUSERACE,Michigan MI05 House — General,2027-11-03T15:00:00Z,2146.0,1252.0,2,Republican party,0.905,0.935,0.920,1262.0,752.0,Democratic party,0.065,0.095,0.080,884.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T12:53:07Z,KXHOUSERACE,Michigan MI06 House — General,2027-11-03T15:00:00Z,776.0,774.0,2,Democratic party,0.953,0.980,0.967,667.0,665.0,Republican party,0.017,0.047,0.032,109.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T12:53:07Z,KXHOUSERACE,Michigan MI11 House — General,2027-11-03T15:00:00Z,507.0,503.0,2,Democratic party,0.955,0.985,0.970,505.0,501.0,Republican party,0.030,0.045,0.037,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T12:53:07Z,KXHOUSERACE,Michigan MI13 House — General,2027-11-03T15:00:00Z,483.0,481.0,2,Democratic party,0.962,0.990,0.976,336.0,334.0,Republican party,0.009,0.039,0.024,147.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T12:53:07Z,KXHOUSERACE,Michigan MI12 House — General,2027-11-03T15:00:00Z,374.0,370.0,2,Democratic party,0.963,0.990,0.977,259.0,255.0,Republican party,0.007,0.037,0.022,115.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
